time_s,reference_position_m,current_position_m
16.400090,0.250000,0.251846
16.410175,0.250000,0.251446
16.420115,0.250000,0.251060
16.430075,0.250000,0.250690
16.440115,0.250000,0.250339
16.450130,0.250000,0.250008
16.460411,0.250000,0.249729
16.470132,0.250000,0.249412
16.480090,0.250000,0.249148
16.490170,0.250000,0.248910
16.500106,0.250000,0.248696
16.510267,0.250000,0.248524
16.520129,0.250000,0.248339
16.530158,0.250000,0.248195
16.540124,0.250000,0.248074
16.550120,0.250000,0.247974
16.560968,0.250000,0.247896
16.570762,0.250000,0.247841
16.580176,0.250000,0.247793
16.590272,0.250000,0.247768
16.600244,0.250000,0.247758
16.611525,0.250000,0.247762
16.620138,0.250000,0.247779
16.630357,0.250000,0.247803
16.640324,0.250000,0.247839
16.650103,0.250000,0.247889
16.660268,0.250000,0.247942
16.670163,0.250000,0.248001
16.680270,0.250000,0.248064
16.690145,0.250000,0.248131
16.700121,0.250000,0.248200
16.710242,0.250000,0.248271
16.720123,0.250000,0.248342
16.730316,0.250000,0.248413
16.740133,0.250000,0.248484
16.750150,0.250000,0.248553
16.760337,0.250000,0.248620
16.770133,0.250000,0.248684
16.780472,0.250000,0.248739
16.790563,0.250000,0.248798
16.800577,0.250000,0.248853
16.810679,0.250000,0.248909
16.820355,0.250000,0.248952
16.830176,0.250000,0.248999
16.840112,0.250000,0.249038
16.850349,0.250000,0.249072
16.860374,0.250000,0.249099
16.870495,0.250000,0.249126
16.880243,0.250000,0.249150
16.890094,0.250000,0.249169
16.900078,0.250000,0.249184
16.910109,0.250000,0.249196
16.920072,0.250000,0.249204
16.930348,0.250000,0.249209
16.940171,0.250000,0.249212
16.950122,0.250000,0.249212
16.960116,0.250000,0.249210
16.970080,0.250000,0.249206
16.980117,0.250000,0.249201
16.990079,0.250000,0.249193
17.000207,0.250000,0.249185
17.010115,0.250000,0.249175
17.021079,0.250000,0.249166
